ID,Platform,Username,Display Name,Followers,Region,Country Code,Inferred Country,Category,Is Live,Avatar URL,Profile URL,Language
cmk6iabj805bhl370wv39sv2a,YOUTUBE,"transformers para niños - canal oficial","Transformers para Niños - Canal Oficial",444000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/Ei1NMoR9M_oNJgFMqas2BNRSDYAAfOn31bhDbGMUBMrU5FlhRRvn8SenaRcOeZueNA2tVSjv=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC8LQYUVnMUu4hRze3kniHsg,es
cmk6i6z5i012gl3701om8r386,TWITCH,"spxtacular","Spxtacular",442177,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/cc634c0f-29e3-4972-a911-9d2fba05041f-profile_image-300x300.png,https://twitch.tv/spxtacular,es
cmk6icu9w08cql370yt1415bu,YOUTUBE,"senado de méxico.","Senado de México.",441000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/X8kdY8lgfFOLNW7XZ3kYhjBSy2cRIzC6QwDyRZ_i_VSvFsZuaATBQJK0uEg_tl5zGiaRNDU6YeY=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCoeJxDc717MNVJtUsQW20Qg,es
cmk6iabyh05c0l370v8480twb,YOUTUBE,"pregonero informa","PREGONERO INFORMA",439000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/_72UNaP0TvwxJ622tJcnUFhM3kGOFK-6WCaH4E3qL6lqJNFQpr_cNsmaBqj2uZ_L9hzVd89PwQs=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC4SWtucJ_XK4kJprcgOz3qQ,es
cmk6ia1w904z6l370efbwplja,YOUTUBE,"terroralextremo","Terror Al Extremo",439000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/YOZ8zca-XeFV_FX4IcP6fqlbhcogXcGi3WMt4MIx96znl-5KCb9CX5LlOaAfdciCujZPStfo6Bg=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCalM_dLoXpcbson1bC-x2TA,es
cmk6i6uj900wkl3706n7jn2ju,TWITCH,"papiblast","PapiBlast",438063,MEXICO,,,Gaming,Yes,https://static-cdn.jtvnw.net/jtv_user_pictures/14321330-5128-4b94-b2ae-f883f023b76b-profile_image-300x300.png,https://twitch.tv/papiblast,es
cmk6iapj205sll370l7pkpatj,YOUTUBE,"juca en vivo","JUCA EN VIVO",438000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/41agWzoB_3Am1lL5squNFtLEuCsPhs5YXjYiBT3ZkSD9kDh9lAOiCIh0oTwaKWuxilOieRoc=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCBM7cHk9Hv0dFWLHEKgPv5Q,es
cmk6i6sl100u3l370lksqtoo9,TWITCH,"valorant_la","valorant_la",437344,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/fb61fde9-bd0b-43ff-ab1e-848f0687b203-profile_image-300x300.png,https://twitch.tv/valorant_la,es
cmk6iaool05rll37083k7244z,YOUTUBE,"asmr lluvia para dormir","Nature Rain",437000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/DH3h8JEngu9jLJfUtMI0KyHd1URROP4xMyC57WOunFC4QEIrri9ciQo4mfhsUJTkCgIEWsXrOA=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCiov2XRETzlERTslcCRMGLw,es
cmk6ic1ja07fkl370rxgb2rks,YOUTUBE,"poncho elrex","Poncho ElRex",437000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_nADNqR_yjpwYWpUtyvYNytTMVql4GLAbYR7BcbNYPBmkk=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC_97SgBQ-PORMqLO4r0_f7g,es
